codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_tipo_categoria,ocorrencia_tipo_icao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_horario,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_dia_extracao,ocorrencia_datahora,ocorrencia_datahora
201103187273112,INCIDENTE,OUTROS,OUTROS,OTHR,-13.1950,-60.8184,CEREJEIRAS,RO,BRASIL,****,2011-03-18,13:30:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/03/18 13:30,2011/03/18 13:30
201108118145873,ACIDENTE,POUSO LONGO,EXCURSÃO DE PISTA,RE,3.7119,-64.1625,AMAJARI,RR,BRASIL,****,2011-08-11,17:00:00,NULL,FINALIZADA,A-105/CENIPA/2012,SIM,2012-09-20,4,1,NÃO,2019-01-30,2011/08/11 17:00,2011/08/11 17:00
201111224132085,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,0.7394,-62.0214,ALTO ALEGRE,RR,BRASIL,****,2011-11-22,16:40:00,NULL,FINALIZADA,A-038/CENIPA/2013,SIM,2013-08-22,2,1,NÃO,2019-01-30,2011/11/22 16:40,2011/11/22 16:40
201104061447671,ACIDENTE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,2.8106,-62.0408,ALTO ALEGRE,RR,BRASIL,****,2011-04-06,20:25:00,NULL,FINALIZADA,A-025/CENIPA/2013,SIM,2013-07-30,2,1,NÃO,2019-01-30,2011/04/06 20:25,2011/04/06 20:25
201106206058374,INCIDENTE,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,2.9938,-61.3140,ALTO ALEGRE,RR,BRASIL,****,2011-06-20,14:30:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/06/20 14:30,2011/06/20 14:30
201102064547004,INCIDENTE,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,-23.0091,-44.3196,ANGRA DOS REIS,RJ,BRASIL,****,2011-02-06,22:15:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/02/06 22:15,2011/02/06 22:15
201102052791822,INCIDENTE,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-23.0091,-44.3196,ANGRA DOS REIS,RJ,BRASIL,****,2011-02-05,12:30:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/02/05 12:30,2011/02/05 12:30
201102203023021,INCIDENTE GRAVE,COM ROTOR,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-22.9978,-44.2497,ANGRA DOS REIS,RJ,BRASIL,****,2011-02-20,21:20:00,NULL,ATIVA,A DEFINIR,NÃO,NULL,0,1,NÃO,2019-01-30,2011/02/20 21:20,2011/02/20 21:20
201009014590067,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,2.8414,-60.6922,BOA VISTA,RR,BRASIL,SBBV,2010-09-01,13:30:00,NULL,FINALIZADA,A-134/CENIPA/2011,SIM,2011-12-21,4,1,NÃO,2019-01-30,2010/09/01 13:30,2010/09/01 13:30
201105165154118,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,2.8167,-60.6705,BOA VISTA,RR,BRASIL,SBBV,2011-05-16,17:42:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/05/16 17:42,2011/05/16 17:42
201110231217982,INCIDENTE,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS,OTHR,2.8167,-60.6705,BOA VISTA,RR,BRASIL,****,2011-10-23,18:03:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/10/23 18:03,2011/10/23 18:03
201105236654663,ACIDENTE,COM PARA-BRISAS / JANELA / PORTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,2.6956,-60.8142,BOA VISTA,RR,BRASIL,****,2011-05-23,10:50:00,NULL,FINALIZADA,A-044/CENIPA/2013,SIM,2013-08-27,3,1,NÃO,2019-01-30,2011/05/23 10:50,2011/05/23 10:50
201104187139368,INCIDENTE,COLISÃO COM OBSTÁCULOS NO SOLO,COLISÃO NO SOLO,GCOL,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2011-04-18,20:30:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/04/18 20:30,2011/04/18 20:30
